City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
330,Hamilton,US,39.1834,-84.5333,72.79,81,1,3.65,clear sky
331,Ilulissat,GL,69.2167,-51.1,39.22,81,20,11.5,few clouds
332,Ambagarh Chauki,IN,20.7833,80.7167,90.18,46,27,11.72,scattered clouds
333,Ibra,OM,22.6906,58.5334,94.71,24,1,1.59,clear sky
334,Lithgow,AU,-33.4833,150.15,59.56,45,0,2.75,clear sky
335,El Alto,PE,-4.2714,-81.2147,64.99,86,100,13.53,overcast clouds
336,Kitimat,CA,54.0524,-128.6534,48.9,93,100,2.33,light rain
337,Fengzhen,CN,40.4394,113.1536,79.47,15,98,12.8,overcast clouds
338,Karratha,AU,-20.7377,116.8463,79.56,48,69,17.45,broken clouds
339,Puerto Lopez,CO,4.0845,-72.956,73.27,93,96,3.18,overcast clouds
340,Haines Junction,CA,60.7522,-137.5108,55.35,54,98,4.61,light rain
341,Adrar,MR,20.5022,-10.0711,86.63,12,19,20.31,few clouds
342,Tautira,PF,-17.7333,-149.15,80.62,79,10,12.95,light rain
343,Tevaitoa,PF,-16.7833,-151.5,80.82,73,11,10.56,few clouds
344,Roma,US,43.2128,-75.4557,75.06,77,1,0.0,clear sky
345,Ceska Lipa,CZ,50.6855,14.5376,62.74,96,39,1.79,scattered clouds
346,Lamar,US,33.6668,-95.5836,70.25,93,85,5.55,heavy intensity rain
347,Ancud,CL,-41.8697,-73.8203,47.23,82,94,4.74,overcast clouds
348,Jiwani,PK,25.05,61.7417,84.96,73,89,12.03,overcast clouds
349,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,88,58,1.92,broken clouds
350,Posse,BR,-14.0931,-46.3694,72.14,58,95,6.42,overcast clouds
351,Barabai,ID,-2.5833,115.3833,92.53,55,59,0.56,broken clouds
352,Bend,US,44.0582,-121.3153,51.66,57,1,3.0,clear sky
353,Batemans Bay,AU,-35.7167,150.1833,66.2,43,3,5.95,clear sky
354,Puerto Leguizamo,CO,-0.1934,-74.7819,71.58,98,83,2.35,broken clouds
355,Jardim,BR,-21.4803,-56.1381,72.75,39,100,2.84,overcast clouds
356,Horqueta,PY,-23.3428,-57.0597,78.55,34,99,4.32,overcast clouds
357,Deputatskiy,RU,69.3,139.9,38.1,63,95,11.72,overcast clouds
358,Hambantota,LK,6.1241,81.1185,85.48,66,97,16.46,overcast clouds
359,Ati,TD,13.2154,18.3353,85.93,46,99,11.41,overcast clouds
360,Muroran,JP,42.3172,140.9881,68.25,70,36,7.87,scattered clouds
361,Hobyo,SO,5.3505,48.5268,78.69,82,45,20.56,scattered clouds
362,Katobu,ID,-4.9408,122.5276,88.02,55,35,7.76,scattered clouds
363,Maltahohe,NA,-24.8333,16.9833,45.75,58,0,13.18,clear sky
364,Carutapera,BR,-1.195,-46.02,74.84,91,84,3.31,broken clouds
365,Trat,TH,12.5,102.5,89.8,71,100,9.64,overcast clouds
366,Bontang,ID,0.1333,117.5,87.03,65,65,7.16,moderate rain
367,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.0,87,1,4.61,clear sky
368,Dargaville,NZ,-35.9333,173.8833,55.18,93,100,11.34,moderate rain
369,Ghanzi,BW,-21.5667,21.7833,42.84,69,0,11.43,clear sky
370,Whitianga,NZ,-36.8333,175.7,59.02,90,100,9.8,light rain
371,Kigoma,TZ,-4.8769,29.6267,73.8,63,97,9.93,overcast clouds
372,Rawson,AR,-43.3002,-65.1023,43.68,59,0,11.68,clear sky
373,Portland,US,45.5234,-122.6762,57.67,65,20,1.01,few clouds
374,Khatanga,RU,71.9667,102.5,37.06,71,100,11.77,light rain
375,Kuytun,RU,54.3419,101.5036,48.94,76,100,15.59,overcast clouds
376,Shimoda,JP,34.6667,138.95,71.11,98,100,5.91,overcast clouds
377,Itaituba,BR,-4.2761,-55.9836,74.82,87,66,2.24,broken clouds
378,Wilbraham,US,42.1237,-72.4315,75.7,77,1,4.07,clear sky
379,Prince Rupert,CA,54.3161,-130.3201,48.29,90,90,9.22,light rain
380,Danesti,RO,46.5167,25.75,54.32,95,23,1.79,few clouds
381,Seminole,US,28.7086,-81.2081,81.0,88,1,1.99,clear sky
382,Shelburne,CA,44.0787,-80.2041,73.89,51,67,14.81,broken clouds
383,San Juan,AR,-31.5375,-68.5364,55.47,49,44,5.1,scattered clouds
384,Pangnirtung,CA,66.1451,-65.7125,25.92,94,64,3.94,broken clouds
385,Kudahuvadhoo,MV,2.6708,72.8944,83.34,74,42,13.89,scattered clouds
386,Beloha,MG,-25.1667,45.05,58.19,80,0,5.44,clear sky
387,Iquique,CL,-20.2208,-70.1431,59.04,78,14,2.64,few clouds
388,Miranda,CO,3.2499,-76.2281,69.93,94,99,3.6,overcast clouds
389,Orumiyeh,IR,37.5527,45.0761,63.95,42,0,1.97,clear sky
390,Wagar,SD,16.1525,36.2032,86.43,35,75,9.98,broken clouds
391,Komsomolskiy,UZ,40.4272,71.7189,95.72,11,0,6.91,clear sky
392,Nemuro,JP,43.3236,145.575,79.23,79,87,18.32,overcast clouds
393,Lodwar,KE,3.1191,35.5973,79.93,50,63,12.66,broken clouds
394,Odweyne,SO,9.4092,45.064,74.14,53,1,9.53,clear sky
395,Virtsu,EE,58.5716,23.5115,60.98,73,6,6.31,clear sky
396,Wukari,NG,7.85,9.7833,73.09,93,90,4.54,overcast clouds
397,Burgeo,CA,47.6167,-57.6152,48.09,99,100,6.06,overcast clouds
398,Rovinj,HR,45.08,13.64,67.82,84,8,4.05,clear sky
399,Bakchar,RU,57.0186,82.0711,66.63,53,83,4.97,broken clouds
400,Ossora,RU,59.2353,163.0719,45.28,78,100,10.65,overcast clouds
401,Puerto Escondido,MX,15.85,-97.0667,82.78,79,100,5.93,overcast clouds
402,Thinadhoo,MV,0.5333,72.9333,82.94,75,100,13.91,overcast clouds
403,Vostok,RU,46.4856,135.8833,52.29,93,100,4.14,light rain
404,Teguise,ES,29.0605,-13.564,61.02,72,40,18.99,scattered clouds
405,Khani,GE,41.9563,42.9566,54.97,82,49,1.99,scattered clouds
406,Takoradi,GH,4.8845,-1.7554,78.44,83,82,5.53,moderate rain
407,Senanga,ZM,-16.1167,23.2667,46.58,92,80,5.23,broken clouds
408,Puerto Madryn,AR,-42.7692,-65.0385,44.4,59,0,11.45,clear sky
409,Maroantsetra,MG,-15.4333,49.7333,71.96,91,95,1.43,overcast clouds
410,Luena,AO,-11.7833,19.9167,51.91,60,100,6.49,overcast clouds
411,Belomorsk,RU,64.5232,34.7668,50.95,73,76,10.36,broken clouds
412,Bisignano,IT,39.5059,16.2772,65.03,67,71,1.01,broken clouds
413,College,US,64.8569,-147.8028,69.46,48,75,9.22,broken clouds
414,Kirakira,SB,-10.4544,161.9205,84.45,72,92,7.16,overcast clouds
415,Loreto,MX,22.2667,-101.9667,72.5,26,49,3.8,scattered clouds
416,Torbay,CA,47.6666,-52.7314,53.76,98,90,13.8,overcast clouds
417,Nouadhibou,MR,20.931,-17.0347,65.97,79,24,21.23,few clouds
418,Zhangye,CN,38.9342,100.4517,70.79,39,100,6.78,overcast clouds
419,Juneau,US,58.3019,-134.4197,52.21,92,90,3.0,light rain
420,Valdivia,CL,-39.8142,-73.2459,42.89,97,64,1.63,broken clouds
421,Pinyug,RU,60.251,47.7842,65.77,55,37,5.39,scattered clouds
422,Erzin,TR,36.9559,36.2,72.32,69,1,2.33,clear sky
423,Cap Malheureux,MU,-19.9842,57.6142,75.47,83,60,1.99,broken clouds
424,Kununurra,AU,-15.7667,128.7333,80.58,26,55,8.05,broken clouds
425,Virginia Beach,US,36.8529,-75.978,77.11,88,1,4.61,clear sky
426,Chegdomyn,RU,51.1167,133.0167,72.0,29,7,4.43,clear sky
427,Tamandare,BR,-8.7597,-35.1047,75.29,85,13,8.57,few clouds
428,Barra Do Bugres,BR,-15.0725,-57.1811,73.18,56,100,1.68,overcast clouds
429,Ayan,RU,56.45,138.1667,41.99,83,92,4.81,overcast clouds
430,Wuwei,CN,37.9281,102.6414,74.64,35,100,7.34,moderate rain
431,Kuldiga,LV,56.974,21.9572,49.69,61,0,2.26,clear sky
432,Blackwater,AU,-23.5833,148.8833,72.45,22,0,7.65,clear sky
433,Nyimba,ZM,-14.5566,30.8149,59.4,64,99,8.95,overcast clouds
434,Bilimbay,RU,56.9689,59.8149,68.94,44,6,4.56,clear sky
435,Tombouctou,ML,20.0,-3.0,92.43,9,11,10.92,few clouds
436,Touros,BR,-5.1989,-35.4608,74.3,88,51,11.77,broken clouds
437,Lipin Bor,RU,60.2622,37.9763,59.76,70,3,2.04,clear sky
438,Phan Thiet,VN,10.9333,108.1,88.14,63,100,12.86,overcast clouds
439,Pucallpa,PE,-8.3791,-74.5539,75.83,86,99,2.19,overcast clouds
440,La Serena,CL,-29.9078,-71.2542,56.71,88,90,6.91,overcast clouds
441,Sao Filipe,CV,14.8961,-24.4956,77.63,64,100,10.49,overcast clouds
442,Tommot,RU,58.9564,126.2925,79.95,38,97,3.62,overcast clouds
443,Sibolga,ID,1.7427,98.7792,86.13,51,89,2.84,overcast clouds
444,Yumen,CN,40.2833,97.2,82.83,18,85,22.41,overcast clouds
445,Sitka,US,57.0531,-135.33,53.49,71,75,9.22,light rain
446,Khuzhir,RU,53.1939,107.3397,45.36,96,100,17.05,light rain
447,Loa Janan,ID,-0.583,117.095,88.81,62,41,3.85,very heavy rain
